freq,int_doh,int_d2o,cluster
6810.00000000,0.00008986,0.00012092,6
6815.00000000,0.00002878,0.00002484,5
6815.30833333,0.00005225,0.00000000,0
6818.10000000,0.00002420,0.00000000,0
6818.79166667,0.00002107,0.00000000,0
6820.00000000,0.00063596,0.00065444,5
6823.63333333,0.00015330,0.00012474,5
6823.88333333,0.00000000,0.00001337,1
6825.00000000,0.00015396,0.00003148,4
6826.17500000,0.00002927,0.00003594,6
6830.00000000,0.00011426,0.00014765,6
6831.60000000,0.00002863,0.00008457,8
6835.01666667,0.00004211,0.00001484,2
6835.71666667,0.00003895,0.00004560,6
6835.72500000,0.00004046,0.00004667,6
6835.93333333,0.00153552,0.00147411,5
6836.93333333,0.00002649,0.00008316,8
6840.00000000,0.00050475,0.00045743,5
6841.26666667,0.00002571,0.00002630,5
6842.91666667,0.00002376,0.00002902,6
6845.00000000,0.00007310,0.00004373,3
6845.03333333,0.00006095,0.00005044,5
6846.61666667,0.00002835,0.00000000,0
6848.87500000,0.00002949,0.00000000,0
6850.00000000,0.00051903,0.00070433,6
6853.20000000,0.00009145,0.00006518,3
6854.94166667,0.00034273,0.00042474,6
6855.18333333,0.00002953,0.00001187,2
6855.50833333,0.00000000,0.00001638,1
6857.61666667,0.00000000,0.00001158,1
6858.57500000,0.00008668,0.00002298,4
6858.64166667,0.00003248,0.00003409,5
6860.00000000,0.00051134,0.00046426,5
6860.43333333,0.00613718,0.00188888,4
6860.71666667,0.00000000,0.00004594,1
6861.41666667,0.00000000,0.00017601,1
6862.34166667,0.00010080,0.00008238,5
6863.75000000,0.00005198,0.00001616,4
6865.00000000,0.00009745,0.00005719,3
6867.43333333,0.00000000,0.00002662,1
6869.29166667,0.00000000,0.00002935,1
6870.00000000,0.00027340,0.00012514,2
6870.66666667,0.00003615,0.00003624,5
6870.67500000,0.00003511,0.00003540,5
6872.89166667,0.00000000,0.00007462,1
6875.00000000,0.00135673,0.00022570,4
6879.22500000,0.00000000,0.00001220,1
6879.77500000,0.00002118,0.00001403,3
6880.00000000,0.00089667,0.00099212,6
6881.56666667,0.00000000,0.00002386,1
6884.76666667,0.00010020,0.00008485,5
6884.77500000,0.00009992,0.00008454,5
6884.98333333,0.00000000,0.00001659,1
6890.00000000,0.00030620,0.00016539,3
6893.01666667,0.00002062,0.00003036,7
6893.03333333,0.00002129,0.00003125,7
6894.71666667,0.00002300,0.00000000,0
6895.00000000,0.00000000,0.00002370,1
6895.90000000,0.00002324,0.00000000,0
6898.75000000,0.00000000,0.00001483,1
6898.87500000,0.00000000,0.00001997,1
6899.03333333,0.00006692,0.00005860,5
6899.73333333,0.00004542,0.00005573,6
6899.81666667,0.00009007,0.00007133,5
6899.86666667,0.00014930,0.00005249,2
6900.00000000,0.00082869,0.00240932,8
6903.49166667,0.00000000,0.00003709,1
